filename	0	0		2.0 Mapping Tables - Hospitals/Ascension Genesys Hospital ADT 2.0 table 10-3-19.xlsx			
MSH-4	2	1	Hospital Value	Description			4
MSH-4	3	1	2.16.840.1.113883.3.1481.1.2.2	Hospital Name			2
MSH-4	4	1	2.16.840.1.113883.3.1696 	Genesys Health System			00000000
PID-8	2	3	MiHIN Value	Description	Hospital Value		4
PID-8	3	3	M	Male	M		2
PID-8	4	3	F	Female	F		4
PID-8	5	3	M	Male	M		4
PID-8	6	3	O	Other			4
PID-8	7	3	U	Unknown			4
PID-8	8	3	A	Ambiguous			4
PID-8	9	3	N	Not Applicable			4
PID-10	2	6	MiHIN Value	Description	Hospital Value		4
PID-10	3	6	2106-3	White	W		2
PID-10	4	6	1002-5	American Indian or Alaska Native	N		4
PID-10	5	6	2028-9	Asian	A		4
PID-10	6	6	2054-5	Black or African American	B		4
PID-10	7	6	2076-8	Native Hawaiian or Other Pacific Islander	P		4
PID-10	8	6	2106-3	White	C, W		4
PID-10	9	6	2131-1	Other Race	O, H, U		4
PID-10	10	6	MR	Multi-Racial			4
PID-10	11	6	PR	Patient Refused 			4
PID-22	2	9	MiHIN Value	Description	Hospital Value		4
PID-22	3	9	H	Hispanic or Latino	Hisp		2
PID-22	4	9	H	Hispanic or Latino	 Hispanic or Latino		4
PID-22	5	9	N	Not Hispanic or Latino	 Not Hispanic or Latino, Not Hispanic or Lati		4
PID-22	6	9	U	Unknown	 Non-disclosed		4
PID-22	7	9	D	Declined			4
PID-22	8	9	AN	Alaskan Native 			4
PID-22	9	9	AR	Arabic 			4
PID-22	10	9	AS	Asian 			4
PID-22	11	9	CA	Caucasian			4
PID-22	12	9	CHA	Chaldean 			4
PID-22	13	9	CHI	Chinese 			4
PID-22	14	9	DU	Dutch 			4
PID-22	15	9	EG	Egyptian 			4
PID-22	16	9	FR	French 			4
PID-22	17	9	GER	German 			4
PID-22	18	9	GRE	Greek 			4
PID-22	19	9	HA	Hawaiian 			4
PID-22	20	9	IRA	Iranian 			4
PID-22	21	9	IRQ	Iraqi 			4
PID-22	22	9	IRH	Irish 			4
PID-22	23	9	ITA	Italian 			4
PID-22	24	9	JA	Japanese 			4
PID-22	25	9	JE	Jewish 			4
PID-22	26	9	JO	Jordanian 			4
PID-22	27	9	KO	Korean 			4
PID-22	28	9	LE	Lebanese  			4
PID-22	29	9	MAC	Macedonian 			4
PID-22	30	9	ME	Middle Eastern			4
PID-22	31	9	MUL	Multi-Ethnic 			4
PID-22	32	9	NA	Native American			4
PID-22	33	9	O	Other 			4
PID-22	34	9	PO	Polish 			4
PID-22	35	9	RU	Russian 			4
PID-22	36	9	SC	Scottish 			4
PID-22	37	9	UK	Ukrainian 			4
PID-22	38	9	VIT	Vietnamese 			4
PID-30	2	12	MiHIN Value	Description	Hospital Value		4
PID-30	3	12	Y	Expired	E		2
PID-30	4	12	Y	Deceased/Yes	Y		4
PID-30	5	12	N	Not Deceased/No			4
DG1-6	2	15	MiHIN Value	Description	Hospital Value		4
DG1-6	3	15	A	Admitting	AD		2
DG1-6	4	15	A	Admitting	 Chief Complaint		4
DG1-6	5	15	F	Final			4
DG1-6	6	15	W	Working 	W		4
DG1-6	7	15	O	Other			4
PV1-2	2	18	MiHIN Value	Description	Hospital Value		4
PV1-2	3	18	E	Emergency	ER		2
PV1-2	4	18	B	Obstetrics			4
PV1-2	5	18	C	Commercial Account			4
PV1-2	6	18	E	Emergency	E		4
PV1-2	7	18	I	Inpatient	I		4
PV1-2	8	18	N	Not Applicable			4
PV1-2	9	18	O	Outpatient	O		4
PV1-2	10	18	P	Preadmit			4
PV1-2	11	18	R	Recurring patient			4
PV1-2	12	18	U	Unknown			4
PV1-2	13	18	IH	IP Hospice 			4
PV1-2	14	18	NB	Newborn			4
PV1-2	15	18	OB	Observation 			4
PV1-2	16	18	SN	Skilled Nursing 			4
PV1-2	17	18	SA	Surgery Admit 			4
PV1-4	2	21	MiHIN Value	Description	Hospital Value		4
PV1-4	3	21	E	Emergency	E		2
PV1-4	4	21	A	Accident			4
PV1-4	5	21	C	Elective			4
PV1-4	6	21	E	Emergency	X, M, E		4
PV1-4	7	21	L	Labor and Delivery	P		4
PV1-4	8	21	N	Newborn (Birth in healthcare facility)	N		4
PV1-4	9	21	R	Routine	R, O, T		4
PV1-4	10	21	U	Urgent	U, S		4
PV1-4	11	21	TC	Trauma Center 			4
PV1-4	12	21	O	Other			4
PV1-14	2	24	MiHIN Value	Description	Hospital Value		4
PV1-14	3	24	2	Clinic referral	E		2
PV1-14	4	24	1	Physician referral	RP, RB, RA		4
PV1-14	5	24	2	Clinic referral	OS		4
PV1-14	6	24	3	HMO referral			4
PV1-14	7	24	4	Transfer from a hospital	TH		4
PV1-14	8	24	5	Transfer froma skilled nursing facility	TE, TR		4
PV1-14	9	24	6	Transfer from another health care facility	TO, TA, TT		4
PV1-14	10	24	7	Emergency Room	EO, TU		4
PV1-14	11	24	8	Court/Law enforcement	TB		4
